as_of,start,end,final_route,factor,direction,active_layer,realized_target_excess_5d_rank_ic,top30_target_excess_5d_mean,universe_target_excess_5d_mean,top30_target_excess_5d_spread,trailing_target_excess_5d_ic_mean,trailing_target_excess_5d_ic_std,trailing_target_excess_5d_icir,trailing_target_excess_5d_ic_pos_rate,trailing_target_excess_5d_days,trailing_top30_target_excess_5d_spread_mean,realized_target_5d_rank_ic,top30_target_5d_mean,universe_target_5d_mean,top30_target_5d_spread,trailing_target_5d_ic_mean,trailing_target_5d_ic_std,trailing_target_5d_icir,trailing_target_5d_ic_pos_rate,trailing_target_5d_days,trailing_top30_target_5d_spread_mean
2026-01-30,2026-02-02,2026-02-06,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_secondary_alpha,ret_60d,low,regime_alpha,0.29634310478172826,0.029125057237006882,0.010123917984313608,0.019001139252693276,0.014429485832300784,0.15994319931839934,0.09021631362753954,0.5166666666666667,60,-0.0003067351723572838,0.29634310478172826,0.0023516907078067343,-0.01664944854488654,0.019001139252693273,0.014429485832300784,0.15994319931839934,0.09021631362753954,0.5166666666666667,60,-0.0003067351723572846
2026-01-30,2026-02-02,2026-02-06,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_secondary_alpha,amount_z_20d,low,liquidity_alpha,0.09227265058045296,0.03425939106901384,0.010123917984313608,0.024135473084700237,0.01977306305728169,0.1290857060821453,0.1531777890628638,0.45,60,-0.0018318350078122725,0.09227265058045296,0.007486024539813696,-0.01664944854488654,0.024135473084700237,0.01977306305728169,0.1290857060821453,0.1531777890628638,0.45,60,-0.0018318350078122727
2026-01-30,2026-02-02,2026-02-06,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_secondary_alpha,close_over_ma60,low,tree_secondary_alpha,0.3484562714302135,0.0251558346500561,0.010123917984313608,0.015031916665742493,0.028265286409855414,0.1651341493476703,0.17116560397417385,0.5333333333333333,60,-0.0008458809761286017,0.3484562714302135,-0.001617531879144048,-0.01664944854488654,0.015031916665742492,0.028265286409855414,0.1651341493476703,0.17116560397417385,0.5333333333333333,60,-0.0008458809761286034
2026-02-06,2026-02-09,2026-02-13,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_secondary_alpha_final_confidence_alpha,ret_20d,high,final_confidence_alpha,-0.09176792940071402,-0.009256626937674836,-0.006454230576468191,-0.002802396361206645,-0.048362113590185496,0.16896183665877754,-0.2862309888821459,0.45,60,0.0041090949862203855,-0.09176792940071402,0.009545758848560107,0.012348155209766752,-0.002802396361206645,-0.048362113590185496,0.16896183665877754,-0.2862309888821459,0.45,60,0.004109094986220385
2026-02-06,2026-02-09,2026-02-13,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_secondary_alpha_final_confidence_alpha,amount_z_20d,low,liquidity_alpha,0.20191081978246098,0.008541770817250948,-0.006454230576468191,0.014996001393719139,0.03202228633078691,0.12736451589110284,0.2514223534454925,0.5333333333333333,60,0.00044703485109602223,0.20191081978246098,0.02734415660348589,0.012348155209766752,0.014996001393719139,0.03202228633078691,0.12736451589110284,0.2514223534454925,0.5333333333333333,60,0.0004470348510960218
2026-02-06,2026-02-09,2026-02-13,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_secondary_alpha_final_confidence_alpha,intraday_ret,low,tree_secondary_alpha,-0.0898709259451696,-0.005520419384074634,-0.006454230576468191,0.0009338111923935574,0.0172012641922568,0.15607348516337394,0.11021259744569,0.5833333333333334,60,0.005744904654811981,-0.0898709259451696,0.01328196640216031,0.012348155209766752,0.0009338111923935574,0.0172012641922568,0.15607348516337394,0.11021259744569,0.5833333333333334,60,0.005744904654811981
2026-02-06,2026-02-09,2026-02-13,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_secondary_alpha_final_confidence_alpha,overnight_ret,high,regime_alpha,-0.23037820144988738,-0.0239560359457409,-0.006454230576468191,-0.01750180536927271,0.0029691115622621877,0.1577098398168683,0.01882641923744201,0.5666666666666667,60,0.006160640039870335,-0.23037820144988738,-0.005153650159505955,0.012348155209766752,-0.01750180536927271,0.0029691115622621877,0.1577098398168683,0.01882641923744201,0.5666666666666667,60,0.006160640039870337
2026-02-13,2026-02-24,2026-03-02,factor_route,overnight_ret,low,factor_route,0.22780189790668656,0.10085407656638419,-0.007517840588446708,0.1083719171548309,0.011491238496174868,0.15430661152862638,0.07447016289410942,0.45,60,0.005976103054569127,0.22780189790668656,0.14407900889733835,0.03570709174250744,0.10837191715483091,0.011491238496174868,0.15430661152862638,0.07447016289410942,0.45,60,0.005976103054569127
2026-03-02,2026-03-03,2026-03-09,factor_route,downside_vol_20d,low,factor_route,0.3354096851710045,0.031459138512552054,0.007984007182281826,0.023475131330270228,-0.08564908127194712,0.21279769285466274,-0.4024906479152667,0.36666666666666664,60,-0.01244753335682219,0.3354096851710045,-0.01229673877284726,-0.035771870103117484,0.023475131330270224,-0.08564908127194712,0.21279769285466274,-0.4024906479152667,0.36666666666666664,60,-0.01244753335682219
2026-03-09,2026-03-10,2026-03-16,factor_route,turnover_ma_20d,low,factor_route,0.288753463755934,0.05385486735849072,0.009287163693739107,0.04456770366475161,-0.03644321680801994,0.22241811359748995,-0.1638500399925666,0.5,60,-0.006049129027764107,0.288753463755934,0.042461761921084716,-0.0021059417436669094,0.04456770366475163,-0.03644321680801994,0.22241811359748995,-0.1638500399925666,0.5,60,-0.006049129027764107
2026-03-16,2026-03-17,2026-03-23,tree_consensus_drawdown_overlay_regime_alpha_final_confidence_alpha,ret_20d,high,final_confidence_alpha,0.03761311571925363,0.011008929414070057,0.0072401975427174615,0.003768731871352595,0.019521912684520994,0.15243875189772452,0.128063976131337,0.6166666666666667,60,0.006936641273339091,0.03761311571925363,-0.07993709089196699,-0.08370582276331959,0.0037687318713525986,0.019521912684520994,0.15243875189772452,0.128063976131337,0.6166666666666667,60,0.0069366412733390895
2026-03-16,2026-03-17,2026-03-23,tree_consensus_drawdown_overlay_regime_alpha_final_confidence_alpha,overnight_ret,high,regime_alpha,0.1419268200850046,0.025184474842807232,0.0072401975427174615,0.01794427730008977,-0.01594882988855182,0.14649234632051752,-0.10887142085673623,0.5333333333333333,60,0.002880839688467601,0.1419268200850046,-0.06576154546322983,-0.08370582276331959,0.017944277300089753,-0.01594882988855182,0.14649234632051752,-0.10887142085673623,0.5333333333333333,60,0.0028808396884676024
2026-03-30,2026-03-31,2026-04-07,tree_consensus_drawdown_overlay_liquidity_alpha_secondary_alpha_final_confidence_alpha,ret_20d,high,final_confidence_alpha,0.010188081930126425,-0.024703983197310805,0.0017574937404252807,-0.026461476937736088,0.019594028443930888,0.16224805549195231,0.12076587534143221,0.5833333333333334,60,0.00542223496289137,0.010188081930126425,-0.04825550805833566,-0.021794031120599574,-0.026461476937736084,0.019594028443930888,0.16224805549195231,0.12076587534143221,0.5833333333333334,60,0.0054222349628913645
2026-03-30,2026-03-31,2026-04-07,tree_consensus_drawdown_overlay_liquidity_alpha_secondary_alpha_final_confidence_alpha,amount_z_20d,low,liquidity_alpha,-0.028243587038010845,0.010284429787912452,0.0017574937404252807,0.008526936047487171,0.006370213091384042,0.12646162672471098,0.050372696100541965,0.4666666666666667,60,-0.001350391226190035,-0.028243587038010845,-0.013267095073112401,-0.021794031120599574,0.008526936047487173,0.006370213091384042,0.12646162672471098,0.050372696100541965,0.4666666666666667,60,-0.0013503912261900357
2026-03-30,2026-03-31,2026-04-07,tree_consensus_drawdown_overlay_liquidity_alpha_secondary_alpha_final_confidence_alpha,intraday_ret,high,tree_secondary_alpha,0.11458739160490512,0.009728339829572536,0.0017574937404252807,0.007970846089147256,-0.006678153399735046,0.16528035137491423,-0.04040500485497296,0.5,60,0.003651530198911479,0.11458739160490512,-0.013823185031452316,-0.021794031120599574,0.007970846089147257,-0.006678153399735046,0.16528035137491423,-0.04040500485497296,0.5,60,0.003651530198911478
2026-04-07,2026-04-08,2026-04-14,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_final_confidence_alpha,ret_20d,high,final_confidence_alpha,-0.3172764027443803,-0.024739238406998754,-0.015703395972826276,-0.009035842434172478,0.007144105860809627,0.16384932782751488,0.043601679393706565,0.5333333333333333,60,-0.0021073351272245916,-0.3172764027443803,0.04360713770609748,0.05264298014026997,-0.009035842434172485,0.007144105860809627,0.16384932782751488,0.043601679393706565,0.5333333333333333,60,-0.0021073351272245947
2026-04-07,2026-04-08,2026-04-14,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_final_confidence_alpha,amount_z_20d,low,liquidity_alpha,0.20951005328176064,-0.0052770777496121656,-0.015703395972826276,0.01042631822321411,0.010267379383227245,0.1264915859696706,0.08117045339038674,0.5166666666666667,60,-0.000426971767634879,0.20951005328176064,0.06306929836348409,0.05264298014026997,0.010426318223214118,0.010267379383227245,0.1264915859696706,0.08117045339038674,0.5166666666666667,60,-0.00042697176763487955
2026-04-07,2026-04-08,2026-04-14,tree_consensus_drawdown_overlay_regime_alpha_liquidity_alpha_final_confidence_alpha,overnight_ret,high,regime_alpha,0.32806762920672167,0.050747714527552,-0.015703395972826276,0.06645111050037827,-0.00863431747448968,0.1440846024747039,-0.05992533085556839,0.55,60,0.001204848695530342,0.32806762920672167,0.11909409064064823,0.05264298014026997,0.06645111050037826,-0.00863431747448968,0.1440846024747039,-0.05992533085556839,0.55,60,0.0012048486955303422
2026-04-14,2026-04-15,2026-04-21,factor_route,downside_vol_20d,high,factor_route,0.1321395238838559,0.0233812708887786,-0.006291413153357193,0.029672684042135793,-0.04476410570845653,0.23138750668881364,-0.19345947561749077,0.4,60,-0.0026999541582553225,0.1321395238838559,0.045852241959186676,0.01617955791705088,0.029672684042135796,-0.04476410570845653,0.23138750668881364,-0.19345947561749077,0.4,60,-0.0026999541582553217
2026-04-21,2026-04-22,2026-04-28,tree_consensus_drawdown_overlay_liquidity_alpha_secondary_alpha,amount_z_20d,low,liquidity_alpha,-0.03469479135316337,-0.02338025064076315,-0.003636215057830748,-0.0197440355829324,0.033631820053622086,0.12511958422933686,0.2687974089809708,0.6166666666666667,60,0.0003490558677188124,-0.03469479135316337,-0.031404842655081304,-0.011660807072148902,-0.019744035582932404,0.033631820053622086,0.12511958422933686,0.2687974089809708,0.6166666666666667,60,0.0003490558677188117
2026-04-21,2026-04-22,2026-04-28,tree_consensus_drawdown_overlay_liquidity_alpha_secondary_alpha,drawdown_20d,low,tree_secondary_alpha,-0.027468851254846806,-0.0029034484371528594,-0.003636215057830748,0.0007327666206778886,0.0030344847279658695,0.1905886018867297,0.015921648503247426,0.45,60,0.0006919560187148972,-0.027468851254846806,-0.010928040451471015,-0.011660807072148902,0.0007327666206778868,0.0030344847279658695,0.1905886018867297,0.015921648503247426,0.45,60,0.0006919560187148972
2026-04-28,2026-04-29,2026-05-08,tree_consensus_drawdown_overlay_regime_alpha_secondary_alpha_final_confidence_alpha,ret_20d,high,final_confidence_alpha,0.054921216700529484,0.02454149203678012,-0.01660858347458005,0.04115007551136017,-0.04351240240705069,0.16625777520117638,-0.2617164962925765,0.43333333333333335,60,-0.004532932914435022,0.054921216700529484,0.08429433581553547,0.04314426030417529,0.04115007551136018,-0.04351240240705069,0.16625777520117638,-0.2617164962925765,0.43333333333333335,60,-0.004532932914435026
2026-04-28,2026-04-29,2026-05-08,tree_consensus_drawdown_overlay_regime_alpha_secondary_alpha_final_confidence_alpha,ret_60d,low,regime_alpha,0.17787725821725567,0.038019690003161716,-0.01660858347458005,0.05462827347774177,0.06318586938693485,0.17341926662791066,0.3643532268101837,0.55,60,-0.0002930362969750085,0.17787725821725567,0.09777253378191704,0.04314426030417529,0.05462827347774175,0.06318586938693485,0.17341926662791066,0.3643532268101837,0.55,60,-0.0002930362969750088
2026-04-28,2026-04-29,2026-05-08,tree_consensus_drawdown_overlay_regime_alpha_secondary_alpha_final_confidence_alpha,overnight_ret,low,tree_secondary_alpha,0.15563755588576703,-0.00860939885051873,-0.01660858347458005,0.007999184624061318,-0.021438344500915623,0.15879536604917105,-0.13500610902132515,0.36666666666666664,60,-0.003814533818416117,0.15563755588576703,0.05114344492823661,0.04314426030417529,0.007999184624061316,-0.021438344500915623,0.15879536604917105,-0.13500610902132515,0.36666666666666664,60,-0.0038145338184161163
